,브랜드,상품명,가격,별점개수,좋아요개수,시즌,성별,별점,이미지
0,드로우핏,오버사이즈 울 트렌치 코트 [BEIGE],156700,7355.0,15866.0,2023 S/S,남,4.8,https://image.msscdn.net/images/goods_img/20180205/709189/709189_16768614323996_60.jpg
1,드로우핏,오버사이즈 울 트렌치 코트 [BLACK],156700,4170.0,11668.0,2023 S/S,남,4.8,https://image.msscdn.net/images/goods_img/20180205/709188/709188_16768612544111_60.jpg
2,드로우핏,울 트렌치 싱글 발마칸 코트 [GREYISH BEIGE],167200,117.0,1568.0,2023 S/S,남,4.9,https://image.msscdn.net/images/goods_img/20230118/3030654/3030654_16740931272826_60.jpg
3,굿라이프웍스,오버사이즈 트렌치코트 블랙,119800,344.0,3810.0,2021 F/W,남,4.8,"https://image.msscdn.net/images/goods_img/20210826/2092842/2092842_4_60.jpg, https://image.msscdn.net/images/prd_img/20210826/2092842/detail_2092842_6_60.jpg, https://image.msscdn.net/images/prd_img/20210826/2092842/detail_2092842_7_60.jpg"
4,플레어업,오버사이즈 트렌치코트 (FL-012),156700,2573.0,8048.0,2023 ALL,남여,4.8,"https://image.msscdn.net/images/goods_img/20171130/680961/680961_22_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_37_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_38_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_36_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_32_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_33_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_34_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_27_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_30_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_28_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_29_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_35_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_15_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_17_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_19_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_20_60.jpg, https://image.msscdn.net/images/prd_img/20171130/680961/detail_680961_26_60.jpg"
5,인사일런스,오버사이즈 트렌치 코트 BLACK,179000,1253.0,5621.0,2023 S/S,남,4.8,"https://image.msscdn.net/images/goods_img/20200113/1269066/1269066_16758158135243_60.jpg, https://image.msscdn.net/images/prd_img/20200113/1269066/detail_1269066_16758158595887_60.jpg, https://image.msscdn.net/images/prd_img/20200113/1269066/detail_1269066_16758158610200_60.jpg, https://image.msscdn.net/images/prd_img/20200113/1269066/detail_1269066_16758158627848_60.jpg, https://image.msscdn.net/images/prd_img/20200113/1269066/detail_1269066_16758158642256_60.jpg, https://image.msscdn.net/skin/musinsa/images/thumb-video.gif?20150918"
6,드로우핏,울 블렌딩 발마칸 오버 코트 [BLACK],167200,544.0,4843.0,2023 S/S,남,4.9,https://image.msscdn.net/images/goods_img/20210125/1760164/1760164_16735775758417_60.jpg
7,드로우핏,울 트렌치 싱글 발마칸 코트 [BLACK],167200,43.0,643.0,2023 S/S,남,4.9,https://image.msscdn.net/images/goods_img/20230118/3030649/3030649_16740930226187_60.jpg
8,드로우핏,오버사이즈 울 트렌치 코트 [GREYISH BEIGE],156700,1021.0,3507.0,2023 S/S,남,4.9,https://image.msscdn.net/images/goods_img/20210122/1758438/1758438_16768613060939_60.jpg
9,닉앤니콜,[21FW] 오버사이즈 더블 트렌치 코트_그레이,99500,613.0,7141.0,2021 F/W,여,4.6,"https://image.msscdn.net/images/goods_img/20210906/2110734/2110734_2_60.jpg, https://image.msscdn.net/images/prd_img/20210906/2110734/detail_2110734_1_60.jpg, https://image.msscdn.net/images/prd_img/20210906/2110734/detail_2110734_2_60.jpg, https://image.msscdn.net/images/prd_img/20210906/2110734/detail_2110734_3_60.jpg, https://image.msscdn.net/images/prd_img/20210906/2110734/detail_2110734_4_60.jpg, https://image.msscdn.net/images/prd_img/20210906/2110734/detail_2110734_5_60.jpg"
